id,longitude,latitude
1079,87.3195315698,43.8898606445
10790,87.436920702,43.9243236457
10791,87.4378828164,43.9235158723
10792,87.4388449307,43.9227080989
10793,87.444929223,43.9169655488
10794,87.4450120079,43.917025568
10796,87.381710146,43.9682450754
10797,87.3827607344,43.9675562897
10798,87.3838116269,43.9668679702
10799,87.3848655661,43.9661843225
10800,87.3859195053,43.9655006749
10801,87.3869734444,43.9648170272
10802,87.3880273836,43.9641333795
10803,87.4404351537,43.9213732735
10804,87.4413935761,43.9205611621
10805,87.4431059769,43.9190827108
10806,87.4403528431,43.9212759039
10807,87.4413111666,43.9204636671
10808,87.442993885,43.919010926
10809,87.4219206142,43.9368602757
1081,87.311371369,43.8915447873
10810,87.4228897482,43.9360609378
10811,87.4220069415,43.9369458427
10812,87.4229677994,43.9361365751
10813,87.4242022202,43.9349765605
10814,87.4251613692,43.9341653499
10815,87.4261123118,43.933344454
10816,87.427063366,43.9325236888
10817,87.4242176653,43.9350835046
10818,87.4251766454,43.9342720128
10819,87.4261356255,43.9334605209
1082,87.3133615784,43.8952899433
10820,87.4270946056,43.932649029
10821,87.5740137872,43.7556500049
10822,87.5752021914,43.7560571221
10823,87.5853776513,43.7606833963
10824,87.5854171339,43.7606288535
10825,87.5793808763,43.7575444392
10826,87.5805501372,43.7580037765
10827,87.5817140474,43.7584762797
10828,87.5828726961,43.7589617579
10829,87.5840078784,43.7594954496
1083,87.3135655917,43.8958309414
10830,87.5793996705,43.7574900227
10831,87.5805686979,43.7579499541
10832,87.581732695,43.758422258
10833,87.5828915039,43.7589073515
10834,87.5840284136,43.7594378009
10835,87.5771814139,43.7567460019
10836,87.5772095365,43.7566956708
10837,87.5873979266,43.7512032861
10838,87.5870215446,43.7524002491
10839,87.5866836267,43.7536096937
10840,87.5861575871,43.7547499783
10841,87.5874747512,43.7512035812
10842,87.5870974796,43.7524002534
10843,87.5867600991,43.753609961
10844,87.5862357958,43.7547509023
10845,87.571595759,43.7547089548
10846,87.5727437832,43.7552135435
10847,87.5687179785,43.7526859345
10848,87.5697439573,43.7534108687
10849,87.5716687217,43.7546825456
10850,87.572820328,43.7551790567
10851,87.5740459533,43.755601413
10852,87.5752348692,43.7560070666
10853,87.56677096,43.7513009609
10854,87.5668282814,43.7512669196
10855,87.5687628729,43.7526374967
10856,87.5697877457,43.7533639935
10857,87.5853592156,43.7563744068
10858,87.585432609,43.7576189277
10859,87.5856968403,43.7588470234
1086,87.319522602,43.8898415484
10860,87.5854339915,43.7563782192
10861,87.5855087177,43.757622458
10862,87.5857720033,43.758850766
1087,87.3382188351,43.8619565528
1088,87.3394576698,43.8617481053
1089,87.3406965045,43.8615396577
1090,87.3419359763,43.8613351278
1091,87.343177032,43.8611403389
1092,87.3444180876,43.86094555
1093,87.3009943282,43.8595298486
1094,87.3125860269,43.8912607191
10947,87.4989631237,43.727747117
10948,87.4978972472,43.7270822341
10949,87.4968288553,43.7264214014
1095,87.3138194185,43.8910221671
10950,87.4989640132,43.7276796927
10951,87.4978990106,43.7270134111
10952,87.4968321531,43.7263501035
1096,87.3150521771,43.8907804037
1097,87.3170826096,43.890372425
1098,87.3125600983,43.8912100594
10983,87.4942414036,43.7246027059
10984,87.4952392622,43.7253640641
10985,87.4962951699,43.7260446673
1099,87.3137934899,43.8909715069
10999,87.4928622639,43.7233056514
11,87.3745414633,43.971804285
1100,87.315026231,43.8907296573
1101,87.3170666349,43.8903196609
11016,87.581718536,43.7039558287
11017,87.5825593177,43.7030864591
11018,87.5342150791,43.7410385312
11019,87.5329606987,43.7409701796
1102,87.3694231366,43.8601316487
11020,87.5317060892,43.7409060167
11021,87.5341558335,43.7410895111
11022,87.5329014401,43.741021405
11023,87.5316468306,43.7409572417
11024,87.5559614212,43.7453303508
11025,87.5547490817,43.7450012235
11026,87.5535340364,43.7446821206
11027,87.5523271262,43.7443338963
11028,87.5800541471,43.7048230211
11029,87.5810110322,43.7055944827
1103,87.370672843,43.860003603
11030,87.5572715761,43.7456937078
11031,87.5871581947,43.7362922327
11032,87.5866753897,43.7351324649
11033,87.5861925847,43.7339726972
11034,87.5857097797,43.7328129294
11035,87.5852253049,43.7316538607
11036,87.5847379198,43.7304960102
11037,87.5842505348,43.7293381598
11038,87.5837631497,43.7281803093
11039,87.5825816602,43.7255062299
1104,87.3669252351,43.860401924
11040,87.5821037945,43.7243444183
11041,87.581672261,43.7231652557
11042,87.5812827647,43.7219715597
11043,87.5810004552,43.7207474424
11044,87.5807219121,43.719522472
11045,87.5804491941,43.7182961821
11046,87.5801764761,43.7170698923
11047,87.5799037582,43.7158436024
11048,87.5796284496,43.7146179094
11049,87.5793371194,43.7133959075
1105,87.3656765128,43.8605392355
11050,87.5790457892,43.7121739056
11051,87.5787289673,43.7109584409
11052,87.5783962733,43.7097470464
11053,87.5780635793,43.7085356519
11054,87.5893585341,43.7465478803
11055,87.5902216534,43.7456355968
11056,87.5877424602,43.7377696133
11057,87.5878163896,43.737748342
11058,87.5901292616,43.7438478432
11059,87.590055403,43.7438593591
1106,87.3694231462,43.8600507264
11060,87.5777126628,43.7072565077
11061,87.5773803259,43.7060450152
11062,87.5771121758,43.7048185154
11063,87.5770677344,43.7035677194
11064,87.5784760654,43.7028037038
11065,87.5791849256,43.6923815053
11066,87.5795045933,43.6911867869
11067,87.5802576173,43.6901829439
11068,87.5792971425,43.6923772715
11069,87.5796257129,43.6911857641
1107,87.3706728212,43.8599223738
11070,87.5803871341,43.690188193
11071,87.5793009695,43.693864454
11072,87.5792237498,43.7036561724
11073,87.5891104331,43.7411949534
11074,87.5886627626,43.7400214071
11075,87.5881711214,43.7486074213
11076,87.580474227,43.7027085537
11078,87.5824036943,43.7033309541
1108,87.3559848105,43.8621085157
11080,87.5804725873,43.7026511528
11082,87.5803652181,43.7022626289
11083,87.5559447064,43.7453833249
11084,87.5547324573,43.745053894
11085,87.5535171133,43.7447359302
11086,87.5523101696,43.744388239
11087,87.5572603921,43.7457492758
11088,87.5880967584,43.7485993722
11089,87.5891792999,43.741172001
1109,87.357217542,43.8618666194
11090,87.5887318523,43.7399983563
11091,87.5774311995,43.7016777888
11092,87.5776384853,43.7004388012
11093,87.5780511629,43.6992557245
11094,87.5785656466,43.698109658
11095,87.5792351422,43.6964342186
11097,87.5773167683,43.701688884
11098,87.5775235368,43.700449768
11099,87.5779293293,43.6992643758
1110,87.3584486809,43.861616837
11100,87.578443581,43.6981182053
11101,87.5791503828,43.6963224089
11102,87.5035313146,43.7305448549
11103,87.5024564432,43.7298946898
11104,87.5013866949,43.7292360547
11105,87.5003129808,43.7285839153
11106,87.5037802288,43.7306266081
11107,87.5027051114,43.7299768008
11108,87.5016348823,43.7293189499
11109,87.5005612552,43.7286666834
1111,87.3596756584,43.86134723
11110,87.5068000776,43.7325805256
11111,87.5057721641,43.731861334
11112,87.5067382609,43.7326093202
11113,87.5057090326,43.7318918208
11114,87.5046548815,43.7312085
11115,87.5302129871,43.7408922881
11116,87.5289600559,43.7408095762
11117,87.5277113388,43.7406722176
11118,87.526468668,43.7404882037
11119,87.5252274478,43.7402947416
1112,87.360902636,43.861077623
11120,87.5239907809,43.7400755914
11121,87.5227733149,43.7397678572
11122,87.5215735252,43.7393956763
11123,87.5203771446,43.739012565
11124,87.5191862508,43.7386126476
11125,87.5179953571,43.7382127301
11126,87.516806701,43.7378062256
11127,87.5156179946,43.7373998707
11128,87.5144268776,43.7370006188
11129,87.5132356906,43.7366015761
1113,87.3621395637,43.8608589292
11130,87.5120438695,43.7362044309
11131,87.5108520484,43.7358072857
11132,87.5096750647,43.7353709339
11133,87.5086426059,43.734666363
11134,87.5078011587,43.7337341058
11135,87.5085041033,43.7344253681
11136,87.5094814123,43.7352022328
11137,87.5106416369,43.7356776576
11138,87.5118333036,43.7360752657
11139,87.5130249704,43.7364728739
1114,87.3633825106,43.860683177
11140,87.5142163866,43.7368712318
11141,87.5154076944,43.7372699142
11142,87.5165970984,43.7376742103
11143,87.5177851812,43.7380824027
